id,name,category,supplier,dimension,baseUnit,countUnit,purchaseUnit,packChain,basePerPurchase,pricingMode,purchasePrice,rate,rateUnit,pricePerDisplay,displayUnit,eachMeasure,isStocked,isPrepLinked,offers,primaryOfferSupplier,lastInvoiceDate,anomalies
cbd3ca0e275054e68b8fc3a5,bison burger,MEAT,,MASS,g,kg,each,1 each = 1 each → 1 each = 1000 g,1000,RATE,,25,kg,25,kg,,true,false,2,Two Rivers,,DUPLICATE_CHAIN_UNITS
c2da5d7498b084b9fa522766,bison herb salami,MEAT,,MASS,g,kg,each,1 each = 1 each → 1 each = 100 g,100,RATE,,32.07,lb,70.70230515529374,kg,,true,false,1,Two Rivers,,DUPLICATE_CHAIN_UNITS
c27c4b11ec1d24b68854fe57,Bresaola,MEAT,Two Rivers,MASS,g,kg,case,1 case = 1 each → 1 each = 100 g,100,PACK,10.99,,,109.89999999999999,kg,,true,false,0,,,
c90ce7fb4dc4d4e0b986f788,Brisket AAA,MEAT,Legends Haul,MASS,g,kg,case,1 case = 28000 g,28000,RATE,,19.7,kg,19.7,kg,,true,false,1,Legends Haul,,
c5b7d8bf5f1c84065b0650d3,Chicken Schnitzel,MEAT,,MASS,g,kg,case,1 case = 1 each → 1 each = 4000 g,4000,PACK,60.67,,,15.1675,kg,,true,false,0,,,
c2c657c34f0544fa893a9eb0,Chorizo,MEAT,,MASS,g,kg,case,1 case = 1 each → 1 each = 1000 g,1000,PACK,20,,,20,kg,,true,false,0,,,
cmqd0u5pq0011d3klr0jw3ty9,Chx Bone Mixed IH 10 kg avg LEGENDS,MEAT,Legends Haul,MASS,g,case,case,1 case = 10000 g,10000,RATE,,4.29,kg,4.29,kg,,true,false,0,,,
cmrs9j7dv0001j39fjxtp8klh,"Chx Thigh BL SL Fresh 3x3.75kg avg — LEGENDS (case weights: 8.300, 9.860 KG)",MEAT,Legends Haul,MASS,g,kg,case,1 case = 11250 g,11250,RATE,,16.3,kg,16.3,kg,,true,false,1,Legends Haul,,
ce41a4f2a08504c6280c65aa,Coppa,MEAT,,MASS,g,kg,each,1 each = 1 each → 1 each = 100 g,100,PACK,6.49,,,64.9,kg,,true,false,0,,,DUPLICATE_CHAIN_UNITS
cmnmloj0x000vhgf0wnavrtbu,Duck Breast,MEAT,Intercity,MASS,g,kg,each,1 each = 1000 g,1000,PACK,28,,,28,kg,,true,false,0,,,
c0c7b500de0934a05a048ea8,duck fat,MEAT,,COUNT,each,each,each,1 each = 1 each → 1 each = 1 each,1,PACK,0,,,0,each,,true,false,0,,,ZERO_PRICE; COUNT_NO_EACH_MEASURE
c346d904f98ec4514aae7396,Duck prosciutto,MEAT,,MASS,g,kg,each,1 each = 1 each → 1 each = 100 g,100,RATE,,54.18,lb,119.44655108555708,kg,,true,false,1,Two Rivers,,DUPLICATE_CHAIN_UNITS
cmq8rf68c00013d2p07gtwz5v,Flat Iron Peeled 1-2lb Filet LEGENDS,MEAT,Legends Haul,MASS,g,kg,each,1 each = 1000 g,1000,RATE,,39.9,kg,39.9,kg,,true,false,1,Legends Haul,,
cmscgo49e0001fe41timn855l,Ground Beef LH Fresh 3x2.5kg AVG LEGENDS,MEAT,Legends Haul,MASS,g,kg,case,1 case = 7500 g,7500,RATE,,16.5,kg,16.5,kg,,true,false,0,,,
c4005fb9f5e3f4abe829e6e3,Ground Pork,MEAT,Legends Haul,MASS,g,kg,case,1 case = 7500 g,7500,RATE,,13.65,kg,13.65,kg,,true,false,1,Legends Haul,,
c283bf10cd0824590a8964b3,Ground Venison,MEAT,,MASS,g,kg,each,1 each = 1 each → 1 each = 1000 g,1000,PACK,79.32,,,79.32,kg,,true,false,0,,,DUPLICATE_CHAIN_UNITS
cmq8nozy9000hmncoydet5a3c,HAM BNLS BSTN SAVOURY (Boston Ham),MEAT,Sysco,MASS,g,case,case,1 case = 1700 g,1700,RATE,,19.21,KG,19.21,kg,,true,false,1,Sysco,,
c3407e4a3f7164a50963d0c4,Ham Rosemary,MEAT,,MASS,g,kg,each,1 each = 1 each → 1 each = 100 g,100,PACK,3.39,,,33.9,kg,,true,false,0,,,DUPLICATE_CHAIN_UNITS
c01ec1d1c07fa4faa9681ede,Nduja,MEAT,,MASS,g,kg,each,1 each = 1 each → 1 each = 450 g,450,RATE,,21.41,lb,47.201008836134676,kg,,true,false,1,Two Rivers,,DUPLICATE_CHAIN_UNITS
ce92005751788448a83de619,Pigs Blood,MEAT,,MASS,g,lb,lb,1 lb = 2267.96 g,2267.96,RATE,,2.86,lb,6.305225841725603,kg,,true,false,2,Two Rivers,,"UNIT_LABEL_CONTRADICTION(chain says 1 lb = 2267.96 g, but 1 lb is 453.592 g)"
ca035ee4aefe7457aa3479aa,Pork Back Ribs,MEAT,Sysco,MASS,g,kg,case,1 case = 1 each → 1 each = 4540 g,4540,RATE,,15.9,kg,15.9,kg,,true,false,1,Legends Haul,,
c9a34699da84e40b2ba96236,pork belly,MEAT,Legends Haul,MASS,g,kg,case,1 case = 1000 g,1000,RATE,,12.53,kg,12.53,kg,,true,false,2,Intercity,,
c0b05891f239b422b9dceb90,Pork Butt,MEAT,,MASS,g,kg,case,1 case = 6 g,6,RATE,,9.99,kg,9.99,kg,,true,false,1,Legends Haul,,
cmrs9k10p000jj39fhdihdo0r,Pork Cheeks Fzn 5kg/pkg JOHNSTONS,MEAT,Legends Haul,MASS,g,kg,box,1 box = 5000 g,5000,RATE,,9.92,kg,9.92,kg,,true,false,1,Legends Haul,,
cbebd6c983c32420186622b9,Pork Fat,MEAT,,MASS,g,kg,each,1 each = 1000 g,1000,RATE,,3.12,lb,6.878428190973386,kg,,true,false,1,Two Rivers,,
c3982fd2be03644d299e81da,Pork Tenderloin,MEAT,Legends Haul,MASS,g,kg,case,1 case = 1000 g,1000,RATE,,9.777,kg,9.777,kg,,true,false,0,,,
cmqd0u4ni000zd3klxfmdoeim,Prosciutto di Parma 6 kg LEOCINI,MEAT,Legends Haul,MASS,g,each,each,1 each = 6000 g,6000,RATE,,44,kg,44,kg,,true,false,0,,,
cefa4f2f2c2a848b2be1dde5,Salami Genoa,MEAT,,MASS,g,kg,case,1 case = 1 each → 1 each = 100 g,100,RATE,,31.45,lb,69.3354380147798,kg,,true,false,1,Two Rivers,,
cdeb30430ca7e4443823e37b,Sausage Apple banger,MEAT,,MASS,g,kg,case,1 case = 453.592 g,453.592,RATE,,6.55,lb,14.440289952203743,kg,,true,false,0,,,
cmphb5wgz0001lv2zseteucnt,Sausage BaconPorkHerb RTL 8x4/cs LEGENDS,MEAT,Legends Haul,MASS,g,kg,case,1 case = 7000 g,7000,RATE,,15.95,kg,15.95,kg,,true,false,1,Legends Haul,,
ce6c2de4942a54e7abd2e892,Slab Bacon,MEAT,Legends Haul,MASS,g,kg,case,1 case = 4000 g,4000,RATE,,16.99,kg,16.99,kg,,true,false,1,Legends Haul,,
c9315393165714bc6b7fa299,Veal Bones,MEAT,Sysco,MASS,g,kg,each,1 each = 1 each → 1 each = 22679.6 g,22679.6,PACK,153.34,,,6.76114217181961,kg,,true,false,2,Sysco,,DUPLICATE_CHAIN_UNITS
cmpnm9puo0000tlpxscu92yzs,Adobo Pulled Pork,PREPD,,VOLUME,ml,batch,batch,1 batch = 6000 ml,6000,PACK,26.91253481575178,,,4.485422469291963,L,,true,true,0,,,
cmpvxqbi4000skapdc4kb9uzw,Bacon Jam,PREPD,,MASS,g,batch,batch,1 batch = 12910 g,12910,PACK,178.2520538171302,,,13.807285346020928,kg,,true,true,0,,,
cmpvxqa63000pkapdg5u8cxjm,BBQ Sauce,PREPD,,MASS,g,batch,batch,1 batch = 4000 g,4000,PACK,14.46427922068172,,,3.61606980517043,kg,,true,true,0,,,
cmpvxqml7001gkapdvxktac36,Bean Puree,PREPD,,MASS,g,batch,batch,1 batch = 11000 g,11000,PACK,51.63161509262606,,,4.693783190238733,kg,,true,true,0,,,
cmqbnfeww000014opjnhtinlb,Beef Tallow,PREPD,,MASS,g,batch,batch,1 batch = 1000 g,1000,PACK,0,,,0,kg,,true,true,0,,,ZERO_PRICE
cmqbndjoq0000p55087j485jg,Beef Tallow Aioli,PREPD,,MASS,g,batch,batch,1 batch = 1000 g,1000,PACK,4.211313809630288,,,4.211313809630288,kg,,true,true,0,,,
cmpvxqm5c001fkapd3vtjll59,Blood Pudding (Rice Version),PREPD,,MASS,g,batch,batch,1 batch = 4500 g,4500,PACK,21.62871160722019,,,4.806380357160042,kg,,true,true,0,,,
cmpvxqfo20011kapda3d6y6md,Brioche French Toast Slice,PREPD,,COUNT,each,batch,batch,1 batch = 57 each,57,PACK,85.3317340743811,,,1.4970479662172123,each,,true,true,0,,,"UNIT_LABEL_CONTRADICTION(chain says 1 batch = 57 each, but 1 batch is 1 each); COUNT_NO_EACH_MEASURE"
cmpvxqeqs000zkapdjn3hq73i,Burger Aioli,PREPD,,MASS,g,batch,batch,1 batch = 1300 g,1300,PACK,11.52537708737411,,,8.86567468259547,kg,,true,true,0,,,
cmpvxqn0v001hkapdm8k1tgrj,Buttermilk Biscuits,PREPD,,COUNT,each,batch,batch,1 batch = 55 each,55,PACK,25.96885398753559,,,0.4721609815915562,each,,true,true,0,,,"UNIT_LABEL_CONTRADICTION(chain says 1 batch = 55 each, but 1 batch is 1 each); COUNT_NO_EACH_MEASURE"
cmpk043nn0000c7c868q1ep7v,Butternut Vegan Yolk,PREPD,,MASS,g,batch,batch,1 batch = 1200 g,1200,PACK,4.90734543637302,,,4.08945453031085,kg,,true,true,0,,,
cmqai9oz60000wckpnjnbteby,Caesar Dressing,PREPD,,MASS,g,batch,batch,1 batch = 1000 g,1000,PACK,12.82473166496427,,,12.82473166496427,kg,,true,true,0,,,
cmrl46jmf0000xzkc3d7sgi14,Caper and Dill Creme Fraiche,PREPD,,MASS,g,batch,batch,1 batch = 4200 g,4200,PACK,34.73900550738583,,,8.271191787472818,kg,,true,true,0,,,
cmpvxqg500012kapd1nbhdze2,Charred Pesto,PREPD,,MASS,g,batch,batch,1 batch = 2500 g,2500,PACK,66.60662038576902,,,26.642648154307608,kg,,true,true,0,,,
cmq7pa69700006gaqlszweez0,Citrus and Dill Curing Mix,PREPD,,MASS,g,batch,batch,1 batch = 2000 g,2000,PACK,18.41124201796617,,,9.205621008983085,kg,,true,true,0,,,
cmqaioxc00000ocuei8rm09m0,Clarified Butter (Ghee),PREPD,,MASS,g,batch,batch,1 batch = 9071.84 g,9071.84,PACK,172.6347173568282,,,19.029735682819382,kg,,true,true,0,,,
cmpvxq9pk000okapdl97cq7st,Coffee and Orange Maple Syrup (infused),PREPD,,VOLUME,ml,batch,batch,1 batch = 4000 ml,4000,PACK,123.9612541062802,,,30.99031352657005,L,,true,true,0,,,
cmpvxqi0a0016kapdvf96t5ft,Coffee Rub Mix (Brisket),PREPD,,MASS,g,batch,batch,1 batch = 2300 g,2300,PACK,18.72575958285987,,,8.141634601243421,kg,,true,true,0,,,
cmq9w2125000012tyxzzfwubt,Cole Slaw Mix,PREPD,,MASS,g,batch,batch,1 batch = 1500 g,1500,PACK,13.6334558237043,,,9.0889705491362,kg,,true,true,0,,,
cmqrkoeoe0001v9dgjzk6pged,Corn Salsa,PREPD,,MASS,g,batch,batch,1 batch = 2000 g,2000,PACK,27.78416314594828,,,13.89208157297414,kg,,true,true,0,,,
cmpvxqig50017kapd4dxzsffm,Crispy Onions (GF),PREPD,,MASS,g,batch,batch,1 batch = 1000 g,1000,PACK,5.719281451171978,,,5.719281451171978,kg,,true,true,0,,,
cmqmvrrdo000011am9on1js3g,Croutons,PREPD,,MASS,g,batch,batch,1 batch = 1000 g,1000,PACK,12.03051984913184,,,12.03051984913184,kg,,true,true,0,,,
cmq7p7zxp0001a8lhxopjljnm,Cured Salmon,PREPD,,MASS,g,batch,batch,1 batch = 2267.96 g,2267.96,PACK,201.7603512801294,,,88.96115949140611,kg,,true,true,0,,,
cmpvxqbyz000tkapder52g9so,Dukkah,PREPD,,MASS,g,batch,batch,1 batch = 1300 g,1300,PACK,8.366506780804183,,,6.435774446772449,kg,,true,true,0,,,
